,X,Y,OBJECTID,Geocode_Address,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Statute_Category,Statute_Description,Statute_CrimeCategory,Weapon_Description,Larceny_Type,Location_Type,Latitude,Longitude
0,-77.61483933671609,43.2501917042529,2598,"4353 Lake Ave, Rochester, NY, 14612",2015,6,1200,2015-06-30T12:00:00.000Z,2016,6,1200,2016-06-30T12:00:00.000Z,F,Grand Larceny 4th: Firearms/Rifles/Shotguns                 ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.2501642,-77.6147914
1,,,2841,,2015,1,1200,2015-01-01T12:00:00.000Z,2016,2,800,2016-02-26T08:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Residential,33.791638,-84.389488
2,-77.59210818880399,43.1481753433117,2862,"269 S Goodman St, Rochester, NY, 14607",2015,6,0,2015-06-26T00:00:00.000Z,2016,2,1500,2016-02-26T15:00:00.000Z,F,Grand Larceny 4th: Firearms/Rifles/Shotguns                 ,6,* No Weapon Specified *,Theft from Building,Multiple Dwelling,43.1483237,-77.5913356
3,-77.6459892328256,43.1854936755176,2875,"528 Birr St, Rochester, NY, 14613",2015,12,1230,2015-12-14T12:30:00.000Z,2016,2,945,2016-02-23T09:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Outside Location,43.1854824,-77.6459835
4,-77.6380059126284,43.155482746320295,2895,"484 Maple St, Rochester, NY, 14611",2015,3,0,2015-03-07T00:00:00.000Z,2016,3,1330,2016-03-07T13:30:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.1554399,-77.6379925
5,-77.6380059126284,43.155482746320295,2896,"484 Maple St, Rochester, NY, 14611",2015,3,100,2015-03-04T01:00:00.000Z,2016,2,1349,2016-02-25T13:49:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.1554399,-77.6379925
6,-77.62232558098779,43.1317896471007,3008,"500 Wilson Blvd, Rochester, NY, 14620",2015,12,1200,2015-12-19T12:00:00.000Z,2016,1,1200,2016-01-09T12:00:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,College,43.12856190000001,-77.6300753
7,-77.6594459965228,43.144188913818105,3016,"29 Stanton St, Rochester, NY, 14611",2015,11,1200,2015-11-15T12:00:00.000Z,2015,12,1200,2015-12-16T12:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1441789,-77.65945119999999
8,-77.5647450253075,43.1497373466918,3045,"6 Blossom Rd, Rochester, NY, 14610",2015,12,2100,2015-12-22T21:00:00.000Z,2015,12,945,2015-12-23T09:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.1496434,-77.564748
9,-77.60166261706419,43.1603073701859,3058,"86 Grove St, Rochester, NY, 14605",2015,11,1251,2015-11-22T12:51:00.000Z,2016,1,2030,2016-01-09T20:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1603051,-77.6016918
